clean_message,actual,predicted
jika banyak perangkat yang terhubung pada modem apakah akan berpengaruh pada speed yang didapatkan,Information,Information
ada hbo,Information,Information
internet down nih,Information,Information
apakah ada promo khusus untukku,Information,Information
masalah teknis,Problem,Information
i want to buy promo,Information,Information
apakah remot tv iptv bisa beli diluar biznet,Information,Information
mau ganti paket ke biznet home yang lebih tinggi,Request,Information
internet saya down loss merah,Information,Information
untuk change package bagaimana,Information,Information
pembayaran lewat uob bisa atau tidak,Information,Information
paket termahal apa ya,Information,Information
anda kenal spv saya nggak,Information,Information
cek  overage,Information,Information
tagihan di bayarin teman,Information,Information
oi putus nih inetnya,Problem,Problem
apakah layanan biznet home mempunyai sla apabila internetnya down,Information,Information
kalo nomor telepon home care berapa ya saya mau call,Information,Information
berbicara dengan cs,Information,Information
apakah perkantoran bisa menggunakan layanan home,Information,Information
mau beli promo,Information,Information
bagaimana cara cek ip address saya,Information,Information
nomer va bsi,Information,Information
langsung aja kirim teknisi,Information,Information
internet saya sangat lambat apakah dapat dibantu dioptimalkan,Problem,Information
mau ganti paket,Request,Request
sudah restart masih lambat,Problem,Information
kalo beli modem beraps,Information,Information
masa aktifku sampai kapan,Information,Information
apakah bisa memanggil teknisi biznet untuk memasangkan router tambahan,Information,Information
harga modem,Information,Information
mau promo,Information,Information
apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan,Request,Information
sebutkan nama merk modem biznet,Information,Information
kalo harga paket d berapa min,Information,Information
apakah berarti paket saya gratis,Information,Information
harga mesh wifi berapa,Information,Information
saya ingin tau dulu harganya,Request,Information
apakah dapat menchandise jika pemasangan biznet,Information,Information
perbedaan jenis ip layanan biznet apa saja,Information,Information
bisa gak aku config modem manual,Information,Information
apakah ganti paket akan mengakumulasikan masa aktif yang sedang berjalan,Request,Information
kenapa sih jaringan saya suka terputus sambung,Problem,Information
hallo siang saya mau berhenti berlangganan karena mau pindah alamat,Information,Information
apakah biznet melakukan pemblokiran ip tertentu,Information,Information
apakah biznet home memiliki promo,Information,Information
mau tanya paket,Information,Information
mau beli add on,Request,Information
apakah bisa membeli router tambahan dari biznet,Information,Information
apakah jika saya pindah ke malaysia jaringan biznet saya bisa ikut dipindah,Information,Information
cara download aplikasi my biznet dimana,Information,Information
internet saya tidak stabil apakah ada kendala,Information,Information
kenapa vpn kantor saya tidak ada koneksi,Information,Information
kalo internet lambat gmn ceknya,Problem,Information
kamu sebagai apa di biznet,Information,Information
promo layanan biznet,Information,Information
salam sejahtera,Information,Information
harga promo home internet d,Information,Information
nomor virtual account bsi,Information,Information
cara mengetahui cakupan area,Information,Information
bagaimana jika saya putus jaringan sebelum masa kontrak,Problem,Information
oke cara belinya gmn,Information,Information
saya mau yang dengan beli modem saja deh tolong berikan detail harnganya kak,Request,Information
paket  plus  hargfanya berapa,Information,Information
saya taunya modem sajya sewa atau beli dimana,Information,Information
kalau telat melakukan pembayaran paket apakah ada denda kak,Information,Information
apa bisa ganti kepemilikan biznet,Request,Request
iya kendala bayar karena uangnya belum ada gimana nih bot,Information,Information
cara terminasi,Request,Request
saya ingin menambah router tamban untuk memperluas jaringan biznet apakah ada rekomendasi perangkat,Request,Information
layanan yang di sarankan untuk menggunakan cctv,Information,Information
saya mau ikut promo,Information,Information
min portnya keblokir,Information,Information
bagaimana cara relokasi,Request,Request
bagaimana caranya login ke mybiznet,Information,Information
saya melakukan pembayaran tagihan internet biznet namun nominal nya kelebihan apakah pembayaran saya tetap di proses,Information,Information
ingin pasang baru,Request,Request
tidak dapat login ke akun anda di httpsappbiznetid,Information,Information
min saya sewa modem biznet tapi pengen ganti modem baru bisa engga,Request,Information
apakah biznet buka lowongan untuk magang,Information,Information
mo beli extra quota,Information,Information
cara ganti nama akun gimana,Request,Request
layanan internet saya lambat boleh diinformasikan penyebab dan solusinya,Problem,Information
mau ganti paket,Request,Request
bagaimana cara pendaftaran kartu kredit,Information,Information
saya buka dari aplikasinya kok ada,Information,Information
parameter modem normal apa,Information,Information
tidak jadi ikut promo,Information,Information
harga paket d berapa,Information,Information
mau promo  ada ga,Information,Information
berapa harga pembelian modem,Information,Information
berapa lama massa kontrak berlangganan biznet,Information,Information
bagaimana cara sembunyikan ssid wifi,Information,Information
cara ganti layanan home ke metronet,Request,Information
apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan,Request,Information
hasil speedtest saya tida,Information,Information
kenapa koneksi saya sering rto ketika akses beberapa website,Information,Information
ciri ciri tiang biznet warna apa soalnya ada tiang miring dijalanan,Information,Information
internet down,Information,Information
apakah relokasi modem biznet bisa saya relokasi mandiri,Request,Request
internet lambat,Problem,Problem
bisa ganti paket sekarang,Request,Request
kalau hanya punya  perangkat tp koneksi saya rto terus ke arah facebookcom kira kenapa ya,Information,Information
mau nambah router min jual ngga,Information,Information
mau order paket internet biznet di banten,Information,Information
emang itu kalo nggak bayar bakal di ambil modemnya,Information,Information
internet down min,Information,Information
apakah benar di beberapa area tidak diperlukan modem atau perangkat,Information,Information
cara login ke mybiznet,Information,Information
cakupan area,Information,Information
biaya relokasi berapa min,Request,Request
estimasi waktu bayar promo,Information,Information
bisa dicek id pelanggan ini  los merah menyala,Information,Information
payment problem,Information,Information
adakah perubahan nomor id pelanggan utk biznet saya,Request,Information
cara bayar,Information,Information
saya mau beli quota,Information,Information
min biznet ada perangkat buat memperluas jangkauan wifi engga,Information,Information
info produk biznet home,Information,Information
promo ada,Information,Information
berapa kapasitas bandwidth yang bisa di dapatkan jika saya menggunakan kabel lan,Information,Information
jika terdapat los merah di modem apakah yang harus dilakukan,Information,Information
mau beli kuota,Information,Information
minta detail dan pastinya dong buat harga dari promo lebih baik saya pilih ya mana nih,Request,Information
tolong berikan saya detail harganya untuk paket internet dan iptv,Request,Information
layanan d tidak dapat buka game ps online itu kenapa,Information,Information
harga biznet home d berapa,Information,Information
sudah restart masih lambat,Problem,Information
pindah ke jl pd mitra lestari no blok a rtrw jaka setia bekasi selatan bekasi west java,Information,Information
bagaimana untuk perhitungan masa aktif layanan,Information,Information
kok lama,Information,Information
promo,Information,Information
jenis paket internet biznet apa saja,Information,Information
saya ada kendala pembayaran,Information,Information
bagaimana jika speed yang didapatkan tidak sesuai,Information,Information
owh oje kalok di tambah router bisa gak,Information,Information
untuk pengecekan jaringan sudah tercover atau belum bagaimana ya,Information,Information
saya mau melakukan perpanjangan wifi,Information,Information
kalau berhenti berlangganan gimana caranya,Information,Information
harga paket gamers biznet,Information,Information
internet down min,Information,Information
kenapa lan saya tidak terhubung ke port  modem,Information,Information
harga paket dn,Information,Information
lsyanan saya expired kapan,Information,Information
kapan akan dikirimkan reminder pembayaran,Information,Information
hi bella saya ingin cek internet saya apakah aman di sistem,Request,Information
modem saya loss,Information,Information
nomor virtual account bsi,Information,Information
kalau untuk kantor apa bisa pakai biznet home,Information,Information
apakah biznet home meyediakan ip static,Information,Information
bisa dirincikan untuk biaya promonya,Information,Information
weak security pada iphone,Information,Information
mo beli extra quota,Information,Information
lampu modem loss merah,Information,Information
harga paket ds,Information,Information
upload dan download tidak simetris,Information,Information
nomor call center biznet home,Information,Information
harga add on iptv,Request,Information
apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data,Request,Request
mau terminasi,Request,Request
apakah saya bisa menambah add on iptv,Request,Request
bagaimana cara agar koneksi internet tetap stabil,Information,Information
promo saat ini,Information,Information
berapa lama masa tenggang layanan biznet home,Information,Information
cara ubah paket,Request,Request
berapa lama garansi modem biznet,Information,Information
i live in pantai indah kapuk  north jakarta,Information,Information
saya ingin ubah layanan apakah bisa dibantu,Request,Request
bagaimana cara beli xtra kuota,Information,Information
saya mau tanya harga bulanan,Information,Information
jika modem saya rusak apakah bisa dilakukan pergantian,Request,Request
apakah ada loker di biznet,Information,Information
tv tidak bisa koneksi internet,Problem,Information
,Information,Information
kalo lambat gmn,Problem,Information
total setelah ppn dan beli modem,Information,Information
kenapa saya tidak bisa menggunakan port,Problem,Information
internet saya down,Information,Information
apa ada kontak sales yang bisa saya hubungi,Information,Information
kalau mau minta invoice gimana,Request,Information
kuota itu fup ya min,Information,Information
untuk layanan biznet home apakah menyedaiakan invoice pembayaran,Information,Information
jika saya pakai paket gamers apakah ip yang saya dapat akan berubah ubah,Request,Information
produk yang murah meriah,Information,Information
min internet saya putus sambung dari sore tadi modem ga di otak atik,Problem,Information
kalo modem dibawa pindah sendiri bisa ngga,Information,Information
saya mau tau harga paket saya,Information,Information
kalau metode pembayarannya bisa dengan apa saja,Information,Information
apakah bisa melakukan pergantian data,Request,Request
saya tidak bisa bayat infonya no anda tidak terdaftar,Problem,Information
internet terputus min,Problem,Information
tanya promo yang ada,Information,Information
bagaimana cara membatasi penggunaan koneksi di modem biznet,Information,Information
via portal apa saja untuk menghubungi biznet customer service,Information,Information
mau ikut promo,Information,Information
apakah biznet menjual perangkat router tambahan untuk support jangakuan koneksinya,Information,Information
cara order promo melalui mybiznet,Information,Information
tidak ada promo free biaya instalasi,Request,Information
apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar,Request,Information
saya tidak bisa bayar va bca,Problem,Information
kalo saya bayar di jam  malam apakah bisa langsung aktit atau bertambah,Information,Information
fungsi blacklist modem,Information,Information
no i just want to chat with you bella,Information,Information
harga internet dw,Information,Information
sebutkan cara yang lengkap untuk pergantian data,Request,Information
saya tidak bisa akses app biznet,Problem,Information
nomor call center biznet home,Information,Information
lokasi desa ketumping udah kofer blm,Information,Information
kalo mau pasang apakah ada biaya pasang min,Request,Information
kenapa reminder tidak masuk wa atau sms,Information,Information
channel iptv biznet apa aja ya,Information,Information
my quota didnt decreased any at all,Information,Information
berapa perangkat untuk d,Information,Information
boleh diinformasikan promo biznet home,Information,Information
harga paket dn,Information,Information
bagaimana cara mengecek kouat pemakaian saya dibulan ini,Information,Information
harga stb berapa ya,Information,Information
ada fup ga,Information,Information
sudah restart modem tapi masih sama,Information,Information
untuk area sumatra ada paket apa aja,Information,Information
brach terdekat dari lokasi saya saat in idi gunung putri,Information,Information
saya mau ubah paket,Request,Request
bagaimana cara saya merubah password wifi saya,Request,Request
berapa jumlah bandwodth over kuota,Information,Information
villa mahkota pesona blok ij  no  bojong kulur gunung putri,Information,Information
connection slow,Information,Information
kalau ngga bisa bayar lebih dari  hari gimana min,Information,Information
jika berlangganan dengan skema modem membeli apakah ada garansi modemnya,Information,Information
apakah ada garansi pergantian modem jika terjadi kerusakan jika saya baru melakukan pembelian modem,Request,Information
bandiwth d berapa,Information,Information
teman saya pelanggan biznet kok dapat gratis kesehatan saya tidak dapat,Information,Information
bagaimana cara optimalkan jaringan secara mandiri,Information,Information
ngga bisa kirim email pakai internet biznet,Information,Information
kalau ada kabel yang terputus berapa lama tim teknisi akan datang melakukan perbaikan,Problem,Information
web biznet,Information,Information
syarat relokasi apa saja,Request,Request
saya mau pasang di banten bis acek coveratge,Request,Request
bukannya promo  itu benarnya   ya,Information,Information
why mu quota doesnt decreased,Information,Information
min internet saya mati,Problem,Information
kelemahan koneksi wifi,Information,Information
saya mau pindahin modem gimana caranya,Information,Information
cara berlangganan,Information,Information
cara rubah paket gimana,Request,Information
oke lalu kalok modem saya los merah saya harus apa,Information,Information
mau pesen lewat cs dong,Information,Information
ganti paket,Request,Request
paket d jenis ip apa,Information,Information
biznet smart internet wifi,Information,Information
apakah ada ketentuan untuk rekoneksi layanan yang sudah lama tidak dibayarkan,Information,Information
kalau saya terhalang sekat bagaimana kak soalnya modemnya jauh dari area yang saya gunakan,Information,Information
selain kartu kredit pembayarannya bisa menggunakan apa aja ya,Information,Information
di my biznet no promo available kenapa,Information,Information
bantu aku donk,Information,Information
berapa harga perbulan untuk layanan iptv dan apakah saya perlu melakukan pembelian alatnya,Information,Information
mohon diinformasikan promo apa saja yang berlaku saat ini untuk pelanggan lama,Request,Information
apakah perlu hubungin customer service,Information,Information
kalo pengen  gmn,Information,Information
apakah jika banyak perangkat yang terhubung dapat mempengaruhi fup,Information,Information
berapa perangkat untuk d,Information,Information
berapa harga remote iptv,Information,Information
jadwal reset fup,Request,Request
iya min cara akses ke modem mau ganti password,Request,Information
saya mau pasang baru,Request,Request
cara mengecek cakupan area melalui apa ya,Information,Information
internet saya ga gacor nih lambat mulu,Problem,Information
saya ingin mengaktifkan akun saya kembali namun saya terakhir melakukan pembayaran  bulan yang lalu apakah bisa di bantu,Request,Information
mo beli extra quota,Information,Information
koneksi dirumah saya lemot yah,Problem,Information
cek jaringan,Information,Information
bisa di jelaskan detail harga masing masing dari promo tersebut,Information,Information
masih kemahalan promonya ada promo yang lebih murah nggk,Information,Information
apa saja paket yang tersedia di biznet,Information,Information
apakah ada promo tahunan,Information,Information
internet saya down,Information,Information
saya ingin pasang baru alkun tambahan,Request,Request
internet mati,Problem,Problem
kalo promo,Information,Information
cara cek coverage area,Request,Information
ikut promo,Information,Information
bagaimana cara cek ping dan tracert apabila ada kendala akses website,Information,Information
pembayaran di tolak,Information,Information
hi kalo ingin ikut promo  gmn cara nya,Request,Information
formulir autodebet cc bisa didapat di mana,Information,Information
mau beli quota,Information,Information
modem saya loss,Information,Information
apakah biznet pempunya layanan telepon,Information,Information
mo beli extra quota,Information,Information
pembayaran biznet home bisa make bank apa aja ya,Information,Information
cara pendaftaran,Information,Information
ada berapa channel yang tersedia pada layanan iptv biznet,Information,Information
apakah tidak ada promo,Information,Information
mau beli quota,Information,Information
wilayah sukawati bali,Information,Information
bisa diinformasikan untuk reset kouta setiap tanggal berapa,Request,Information
connection intermitten,Information,Information
biznet home internet down,Information,Information
tagihan dan virtual account berbeda,Information,Information
internet saya down sejak semalam,Information,Information
saya mau tanya perihal layanan,Information,Information
untuk prosesnya berapa lama,Information,Information
jika saya melakukan pergantian paket dan masa aktif saya masih tersisa dipaket sebelumnya apakah sisa masa aktif tersebut akan hangus,Request,Information
bagaimana cari downgrade,Information,Information
ingin merubah paket,Request,Request
apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah,Request,Request
kalau mau beli promo  gimaa caranya,Information,Information
ada nomor wa sales area gianyar,Information,Information
live agent,Information,Information
berapa lama proses pergantian nama akun biznet,Request,Request
internet saya down,Information,Information
kalau dengan cicilan kartu kredit apakah bisa,Information,Information
harga internet ds,Information,Information
apabila saya berlangganan dengan sewa modem apakah nantinya bisa beli perangkat modem,Information,Information
masa kontrak berlaku berapa lama,Information,Information
tadi katanya nggak ada,Information,Information
cara memblokir pengguna wifi gimana,Information,Information
koneksi agak anu ni,Information,Information
untuk pembayaran kemana ya,Information,Information
terminasi layanan biznet kemana,Request,Information
mau mengajukan sponsorship,Information,Information
ada promo,Information,Information
kalau sudah isi formulir terminasi namun ada tagihan masuk ke email apa yang harus saya lakukan,Request,Information
cara mempercepat jaringan wifi biznet,Information,Information
untuk pengaduan bisa diinformasikan melalui apa saja saat ini,Information,Information
apakah layanan biznet home upload dan downloadnya simetris,Information,Information
cara registrasi kembali,Information,Information
bagaimana cara menambahkan kartu kredit,Information,Information
apakah free extra quota hanya untuk pelanggan baru atau existing,Information,Information
kalau terdaftar autodebet apakah tetap bisa mengikuti promo,Information,Information
berapa perangkat untuk ds,Information,Information
bagaimana saya cek sisa kuota saya,Information,Information
mau beli quota,Information,Information
bisa informasikan bandwidth yang didapatkan apabila berlangganan home internet d,Information,Information
koneksinya lambat,Problem,Problem
ada promo apa,Information,Information
kapan akan dikirimkan reminder pembayaran,Information,Information
saya mau terhubung dengan cs,Information,Information
bisa informasikan cara berlangganan,Information,Information
apakah masa aktif terhitung  hari,Information,Information
saya mau bertanya,Information,Information
saya sudah bayar tapi belum aktif,Information,Information
paket gamers,Information,Information
kalok mau langganan caranya gemana,Information,Information
apakah harga layanan biznet berubahubah,Request,Information
mau tanya quota,Information,Information
bagaimana cek sisa kuota saya,Information,Information
setelah pengisian form terminasi saya harus menunggu berapa lama untuk akun diterimasi,Request,Request
cara pasang router tambahan,Request,Information
apa ada promo yg tersedia saat ini,Information,Information
ip yang didapatkan dari paket biznet home apa ya kak,Information,Information
baru berlangganan,Information,Information
kalo mau nambah iptv gimana,Information,Information
mau tau cara ganti password wifi gimana ya,Request,Information
cara setting cctv pakai jaringan biznet,Information,Information
kalau produk lainnya apa aja ya,Information,Information
itu kapan resetnya,Request,Information
kenapa biznet tidak bisa menggunakan dns google,Problem,Information
bagaimana cara cek cakupan area,Information,Information
los,Information,Information
min saya punya  perangkat dengan id layanan yang berbeda tapi ko di app mybiznet cuma  yang terbaca,Information,Information
promo metronet,Information,Information
masih sama ini,Information,Information
cara order promo min,Information,Information
jika kabel modem saya putus karna digigit tikus apakah perbaikannya akan berbayar,Problem,Information
cara reset password mybiznet,Request,Request
saya mau tanya produk biznet home apa saja,Information,Information
min dns biznet apa,Information,Information
bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain apakah uang saya bisa direfund,Information,Information
kalo untuk main game cocoknya paket apa ya min,Information,Information
jika ingin pindah alamat namun lokasi baru tidak tercakup bagaimana,Request,Request
apa itu dns,Information,Information
bagaimana jika ingin terminasi namun terdapat kartu kredit,Request,Request
layanan apa ya kalo saya mau pasang iptv yang cocok,Request,Information
kalo mau ikut promo  gmn ya,Information,Information
biaya relokasi biznet home,Request,Request
berapa nomer va saya,Information,Information
biznet metronet,Information,Information
promo,Information,Information
biznet bagus gal sih,Information,Information
untuk daerah papua sudah ada layanan biznet belum min,Information,Information
username password pppoe aku apa,Information,Information
biznet home,Information,Information
harga paket ds,Information,Information
maksudnya setting router tambahan atau extender,Information,Information
internet down,Information,Information
saya mau ubah nama akun apakah bisa,Request,Request
harga modem biznet,Information,Information
harga pasang baru di lokasi sama min,Request,Information
internet lambat,Problem,Problem
saya ada  perangkat aktif di rumah,Information,Information
ok apakah saya sebaiknya ganti isp saja,Request,Request
ya router mesh wifi,Information,Information
tanggal berapa biasanya dilakukan pembayaran auto debet untuk kartu kredit yang terdaftar di biznet,Information,Information
saya mau pasang baru,Request,Request
promo di nusa tenggara,Information,Information
biznet homr,Information,Information
saya mau relokasi,Request,Request
change package,Information,Information
kalo untuk layanan iptv ada ga kak,Information,Information
untuk pembayaran apakah bisa ditangguhkan,Information,Information
